"","x"
"322","C1orf43"
"323","UBAP2L"
"324","HAX1"
"325","UBE2Q1"
"326","ADAR"
"327","PMVK"
"328","SHC1"
"329","CKS1B"
"330","FLAD1"
"331","ADAM15"
"332","EFNA4"
"333","SLC50A1"
"334","DPM3"
"335","KRTCAP2"
"336","MTX1"
"337","FAM189B"
"338","SCAMP3"
"339","FDPS"
"340","RUSC1"
"341","ASH1L"
"342","MSTO1"
"343","YY1AP1"
"344","DAP3"
"345","GON4L"
"346","RIT1"
"347","KIAA0907"
"348","SSR2"
"349","LAMTOR2"
"350","LMNA"
"351","PMF1"
"352","SMG5"
"353","CCT3"
"354","APOA1BP"
"355","GPATCH4"
"356","CRABP2"
"357","ISG20L2"
"358","MRPL24"
"359","HDGF"
"360","PRCC"
"361","DUSP23"
"362","TAGLN2"
"363","IGSF8"
"364","PEA15"
"365","COPA"
"366","F11R"
"367","PFDN2"
"368","NIT1"
"369","UFC1"
"370","B4GALT3"
"371","NDUFS2"
"372","SDHC"
"373","DUSP12"
"374","UHMK1"
"375","UAP1"
"376","NUF2"
"377","MGST3"
"378","ALDH9A1"
"379","TMCO1"
"380","UCK2"
"381","CREG1"
"382","MPZL1"
"383","MPC2"
"384","DCAF6"
"385","TIPRL"
"386","ATP1B1"
"387","NME7"
"388","PRRC2C"
"389","PIGC"
"390","PRDX6"
"391","CENPL"
"392","CACYBP"
"393","MRPS14"
"394","RASAL2"
"395","TOR3A"
"396","ABL2"
"397","TOR1AIP2"
"398","CEP350"
"399","QSOX1"
"400","IER5"
"401","GLUL"
"402","DHX9"
"403","LAMC1"
"404","ARPC5"
"405","TSEN15"
"406","IVNS1ABP"
"407","TPR"
"408","C1orf27"
"409","RGS2"
"410","UCHL5"
"411","TROVE2"
"412","GLRX2"
"413","CDC73"
"414","ASPM"
"415","C1orf53"
"416","TMEM9"
"417","PHLDA3"
"418","CSRP1"
"419","IPO9"
"420","TIMM17A"
"421","RNPEP"
"422","UBE2T"
"423","RABIF"
"424","ADIPOR1"
"425","TMEM183A"
"426","ZC3H11A"
"427","SNRPE"
"428","DSTYK"
"429","NUCKS1"
"430","EIF2D"
"431","MAPKAPK2"
"432","CD55"
"433","CD46"
"434","LAMB3"
"435","G0S2"
"436","SERTAD4-AS1"
"437","NEK2"
"438","LPGAT1"
"439","PPP2R5A"
"440","NENF"
"441","ATF3"
"442","NSL1"
"443","SMYD2"
"444","PTPN14"
"445","CENPF"
"446","RRP15"
"447","LYPLAL1"
"448","EPRS"
"449","IARS2"
"450","AIDA"
"451","CAPN2"
"452","DEGS1"
"453","CNIH4"
"454","LBR"
"455","ENAH"
"456","SRP9"
"457","EPHX1"
"458","PYCR2"
"459","H3F3A"
"460","ACBD3"
"461","PARP1"
"462","CDC42BPA"
"463","SNAP47"
"464","ARF1"
"465","C1orf35"
"466","MRPL55"
"467","GUK1"
"468","RNF187"
"469","RAB4A"
"470","GALNT2"
"471","ARV1"
"472","FAM89A"
"473","C1orf131"
"474","GNPAT"
"475","EGLN1"
"476","RP11-295G20.2"
"477","TSNAX"
"478","NTPCR"
"479","KCNK1"
"480","RP5-827C21.4"
"481","COA6"
"482","IRF2BP2"
"483","TOMM20"
"484","ARID4B"
"485","GGPS1"
"486","LGALS8"
"487","FH"
"488","OPN3"
"489","SDCCAG8"
"490","ADSS"
"491","DESI2"
"492","COX20"
"493","HNRNPU"
"494","EFCAB2"
"495","SMYD3"
"496","TFB2M"
"497","SCCPDH"
"498","SH3BP5L"
"499","SH3YL1"
"500","ACP1"
"501","TMEM18"
"502","TSSC1"
"503","ADI1"
"504","RNASEH1"
"505","RNASEH1-AS1"
"506","RPS7"
"507","ID2"
"508","MBOAT2"
"509","ASAP2"
"510","ITGB1BP1"
"511","CPSF3"
"512","IAH1"
"513","YWHAQ"
"514","RRM2"
"515","HPCAL1"
"516","ODC1"
"517","NOL10"
"518","PDIA6"
"519","ROCK2"
"520","E2F6"
"521","LPIN1"
"522","TRIB2"
"523","DDX1"
"524","SMC6"
"525","RDH14"
"526","LAPTM4A"
"527","SDC1"
"528","RHOB"
"529","UBXN2A"
"530","TP53I3"
"531","ITSN2"
"532","PTRHD1"
"533","RAB10"
"534","HADHA"
"535","HADHB"
"536","EPT1"
"537","CENPA"
"538","TMEM214"
"539","OST4"
"540","PREB"
"541","SLC5A6"
"542","ATRAID"
"543","CAD"
"544","MPV17"
"545","GTF3C2"
"546","EIF2B4"
"547","SNX17"
"548","PPM1G"
"549","NRBP1"
"550","GPN1"
"551","SLC4A1AP"
"552","MRPL33"
"553","BRE"
"554","FOSL2"
"555","PPP1CB"
"556","WDR43"
"557","YPEL5"
"558","DPY30"
"559","YIPF4"
"560","FAM98A"
"561","RP11-490M8.1"
"562","CRIM1"
"563","FEZ2"
"564","GPATCH11"
"565","EIF2AK2"
"566","CEBPZ"
"567","CDC42EP3"
"568","CYP1B1"
"569","HNRNPLL"
"570","SRSF7"
"571","GEMIN6"
"572","MORN2"
"573","THUMPD2"
"574","EML4"
"575","COX7A2L"
"576","MTA3"
"577","ZFP36L2"
"578","LRPPRC"
"579","EPAS1"
"580","ATP6V1E2"
"581","PIGF"
"582","CRIPT"
"583","MCFD2"
"584","CALM2"
"585","MSH2"
"586","MSH6"
"587","CHAC2"
"588","ERLEC1"
"589","ACYP2"
"590","SPTBN1"
"591","RTN4"
"592","RPS27A"
"593","MTIF2"
"594","CCDC88A"
"595","PNPT1"
"596","VRK2"
"597","FANCL"
"598","REL"
"599","PEX13"
"600","USP34"
"601","XPO1"
"602","FAM161A"
"603","CCT4"
"604","COMMD1"
"605","MDH1"
"606","UGP2"
"607","RAB1A"
"608","ACTR2"
"609","C1D"
"610","PNO1"
"611","GFPT1"
"612","NFU1"
"613","AAK1"
"614","ANXA4"
"615","GMCL1"
"616","SNRNP27"
"617","MXD1"
"618","PCBP1"
"619","TIA1"
"620","PCYOX1"
"621","SNRPG"
"622","FAM136A"
"623","TEX261"
"624","NAGK"
"625","MPHOSPH10"
"626","SPR"
"627","PRADC1"
"628","CCT7"
"629","TPRKB"
"630","DUSP11"
"631","STAMBP"
"632","DGUOK"
"633","BOLA3"
"634","MOB1A"
"635","MTHFD2"
"636","WDR54"
"637","MRPL53"
"638","AUP1"
"639","HTRA2"
"640","POLE4"
"641","MRPL19"
"642","GCFC2"
"643","SUCLG1"
"644","TMSB10"
"645","KCMF1"
"646","TGOLN2"
"647","CAPG"
"648","MAT2A"
"649","GGCX"
"650","VAMP8"
"651","RNF181"
"652","USP39"
"653","ST3GAL5"
"654","PTCD3"
"655","IMMT"
"656","MRPL35"
"657","CHMP3"
"658","LINC00152"
"659","KRCC1"
"660","RPIA"
"661","MRPS5"
"662","FAHD2A"
"663","STARD7"
"664","CIAO1"
"665","SNRNP200"
"666","NCAPH"
"667","ANKRD39"
"668","COX5B"
"669","ACTR1B"
"670","COA5"
"671","UNC50"
"672","MITD1"
"673","TXNDC9"
"674","EIF5B"
"675","REV1"
"676","PDCL3"
"677","RPL31"
"678","CNOT11"
"679","RNF149"
"680","MAP4K4"
"681","MRPS9"
"682","FHL2"
"683","UXS1"
"684","GCC2"
"685","LIMS1"
"686","RANBP2"
"687","CCDC138"
"688","LINC00116"
"689","BUB1"
"690","RP11-803D5.4"
"691","ZC3H8"
"692","TTL"
"693","CHCHD5"
"694","SLC20A1"
"695","CKAP2L"
"696","SLC35F5"
"697","ACTR3"
"698","DDX18"
"699","INSIG2"
"700","DBI"
"701","TMEM177"
"702","RALB"
"703","NIFK"
"704","TSN"
"705","BIN1"
"706","IWS1"
"707","WDR33"
"708","POLR2D"
"709","SMPD4"
"710","MZT2B"
"711","CCDC115"
"712","IMP4"
"713","FAM168B"
"714","PLEKHB2"
"715","MZT2A"
"716","UBXN4"
"717","MCM6"
"718","DARS"
"719","ORC4"
"720","MMADHC"
"721","NMI"
"722","RIF1"
"723","ARL5A"
"724","PRPF40A"
"725","ARL6IP6"
"726","NR4A2"
"727","PKP4"
"728","RBMS1"
"729","TANK"
"730","PSMD14"
"731","GCA"
"732","SPC25"
"733","PPIG"
"734","KLHL23"
"735","SSB"
"736","METTL5"
"737","AC007405.6"
"738","GAD1"
"739","GORASP2"
"740","METTL8"
"741","DYNC1I2"
"742","HAT1"
"743","CDCA7"
"744","OLA1"
"745","CIR1"
"746","ATP5G3"
"747","MTX2"
"748","HNRNPA3"
"749","NFE2L2"
"750","AGPS"
"751","PRKRA"
"752","PLEKHA3"
"753","UBE2E3"
"754","DNAJC10"
"755","NCKAP1"
"756","NUP35"
"757","ZC3H15"
"758","GULP1"
"759","ASNSD1"
"760","ORMDL1"
"761","HIBCH"
"762","INPP1"
"763","GLS"
"764","NABP1"
"765","SF3B1"
"766","COQ10B"
"767","HSPD1"
"768","HSPE1"
"769","MOB4"
"770","C2orf69"
